pair,ablation,arm,seed,graph_key,wall_clock_s,extra_args,save_dir,sts_avg,pair_avg,cls_avg,avg,avg_in,avg_out,emotion,wic,stsb,banking77,tweet,mrpc,scitail,sick,sts12,teacher_weighted_distortion,teacher_student_spearman,cosine_rmse,anisotropy,effective_rank,uniformity,encoded_texts_cum,encoded_tokens_cum,peak_memory_mb,loss,loss_rel,loss_row,row_exposed_mass,run_id,git_sha,git_dirty,gpu,support_policy,relation_target,use_ambient,knn_mode,row_weight,diffusion_scales,diffusion_quota,hard_neg_k,random_neg_k,direct_temp,learning_rate,policy
bge_m3_to_minilmv2_h768,full,full,42,base,415,,runs/ablation/bge_m3_to_minilmv2_h768/full/full/seed42,77.77202163980091,76.68649532914385,76.86515349046327,77.10789015313601,70.37,80.48,67.37046812534015,62.48615462387187,81.25573836328654,90.3777607666892,72.84723157936045,84.51614845631865,83.05718290724104,78.54805502014453,73.51227153597165,0.003292621113359928,0.8966625572848604,0.057741839438676834,0.41132140159606934,462.2423265564219,-2.215320110321045,4637220,69380613,1162.64306640625,0.7517058143118547,0.5726671660963393,0.17903864765054242,0.5242516371593656,20260902-192817-3159a8,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",22,40,26,0.1,3e-05,hybrid
bge_m3_to_minilmv2_h768,full,full,43,base,337,,runs/ablation/bge_m3_to_minilmv2_h768/full/full/seed43,77.67935977629753,76.72432440738088,76.74180064295935,77.04849494221259,70.04,80.55,66.49659504015652,62.31758572043934,81.30964075231273,90.70196640452146,73.02684048420006,84.54927853543127,83.30610896627199,78.6128899035098,73.11554867307007,0.00316962250508368,0.8962055032247028,0.057147715240716934,0.40711379051208496,462.81797421542643,-2.2316195964813232,4636299,69366649,1157.70703125,0.7528132485552421,0.5733013016070235,0.1795119487137591,0.5229303997839797,20260902-194032-2ebb1c,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",22,40,26,0.1,3e-05,hybrid
bge_m3_to_minilmv2_h768,full,full,44,base,343,,runs/ablation/bge_m3_to_minilmv2_h768/full/full/seed44,77.71968512204292,76.60683074693893,77.11475215671045,77.14708934189744,70.38,80.53,67.46541847611844,62.401881908183796,81.27405173871614,90.69463110007811,73.18420689393479,84.39971089933293,83.01889943330005,78.64396283527451,73.24104079213814,0.0031575048342347145,0.8958599100218584,0.05680958926677704,0.4081486463546753,462.93350716619614,-2.2292160987854004,4636519,69393577,1154.70703125,0.7522446877583508,0.5726278421438136,0.17961684610888856,0.5230759393547384,20260902-195147-a479a7,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",22,40,26,0.1,3e-05,hybrid
bge_m3_to_minilmv2_h768,x1,uniform,42,base,320,--support_policy uniform,runs/ablation/bge_m3_to_minilmv2_h768/x1/uniform/seed42,76.44858353177077,76.73869896155841,76.9197235847481,76.7023353593591,70.02,80.04,67.09342852782669,63.38037544784263,79.59093503609415,90.33802690971109,73.32771531670649,83.91978320364863,82.91593823318397,78.23391525544567,71.52090030377248,0.005979842506349087,0.8645153181656989,0.07584191858768463,0.4471665620803833,453.45739444485184,-2.0915510654449463,4615988,68556442,1161.64306640625,1.3704129276682415,1.086345990687185,0.28406693782851594,0.4526003884478203,20260902-193512-9852d1,,,NVIDIA H200,uniform,diffusion,True,mutual,1.0,"[1, 2, 4]",22,40,26,0.1,3e-05,uniform
bge_m3_to_minilmv2_h768,x1,uniform,43,base,338,--support_policy uniform,runs/ablation/bge_m3_to_minilmv2_h768/x1/uniform/seed43,76.29869045844043,76.39373198731286,77.0551361763126,76.58251954068864,70.0,79.87,67.51881017280253,63.11597890947862,79.36336001407612,90.55127386853579,73.09532448759948,83.62795403792964,82.43726301453034,78.21810596958177,71.3146053916634,0.005920492112636566,0.8685647625936578,0.07543957978487015,0.44714614748954773,453.53404258795314,-2.0916213989257812,4615632,68564152,1160.248046875,1.3767618517175104,1.0932157463372036,0.28354610425036103,0.4514319526640725,20260902-194609-125ae5,,,NVIDIA H200,uniform,diffusion,True,mutual,1.0,"[1, 2, 4]",22,40,26,0.1,3e-05,uniform
bge_m3_to_minilmv2_h768,x1,uniform,44,base,350,--support_policy uniform,runs/ablation/bge_m3_to_minilmv2_h768/x1/uniform/seed44,76.3437244117409,76.61028402804301,77.27661613968543,76.74354152648978,69.98,80.12,67.35211448119838,63.139712885537655,79.45874824576987,90.72742976298818,73.75030417486971,83.90189978116464,82.78923941742673,78.06625525268035,71.50616973677248,0.0059783062897622585,0.8691325720233802,0.0755944550037384,0.4467860758304596,454.3148274786089,-2.090710163116455,4617541,68613372,1154.79248046875,1.3709101230612297,1.0860212662773674,0.2848888560776462,0.45091718689525295,20260902-195730-783d2c,,,NVIDIA H200,uniform,diffusion,True,mutual,1.0,"[1, 2, 4]",22,40,26,0.1,3e-05,uniform
qwen3_0_6b_to_minilmv2_h384,full,full,42,base,361,,runs/ablation/qwen3_0_6b_to_minilmv2_h384/full/full/seed42,74.91626140336889,76.74113976374572,73.65341511154055,75.1036054262184,68.43,78.44,62.17075641973903,65.66285097582593,77.4569505529251,88.05055072061016,70.73893819427252,82.46646152533705,82.0941067900742,74.05650299807493,73.23533065910665,0.019336888566613197,0.8079567339412904,0.15312650799751282,0.4536186456680298,231.20270491458248,-2.060227870941162,4689556,70801037,470.25830078125,1.0387913773975102,0.6386780422445723,0.4001133361416405,0.513564250339264,20260902-155850-831967,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,full,full,43,base,320,,runs/ablation/qwen3_0_6b_to_minilmv2_h384/full/full/seed43,74.78128821530335,76.90690412578961,73.69981574111095,75.1293360274013,68.57,78.41,62.58832473655694,65.75378934175764,77.35478143621528,87.9667997535149,70.54432273326098,82.4038628735197,82.56306016209146,73.9099018707884,73.07918133890638,0.018273068591952324,0.8075539759294678,0.14821606874465942,0.4478364586830139,231.22249358355626,-2.0822932720184326,4686203,70748706,469.75830078125,1.0384350113959109,0.639475250131146,0.39895976423087276,0.512802000011878,20260902-160453-643685,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,full,full,44,base,322,,runs/ablation/qwen3_0_6b_to_minilmv2_h384/full/full/seed44,74.92507886288988,76.8650700350893,73.96912250751342,75.25309046849753,68.9,78.43,63.171017842222646,65.91755841593309,77.61862624672638,88.07451508237169,70.66183459794594,82.47160509697866,82.20604659235617,74.07525837869323,73.08135196324999,0.018695663660764694,0.8094555280646586,0.1498226672410965,0.4498509466648102,231.5212728048678,-2.0741970539093018,4687225,70768481,469.75830078125,1.0368441961952861,0.6381938175002545,0.39865038010746384,0.5132511663493387,20260902-161010-06e3d7,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,g1,directed,42,directed,392,--knn_mode directed,runs/ablation/qwen3_0_6b_to_minilmv2_h384/g1/directed/seed42,74.6393612610161,76.54151408293112,74.66618718851858,75.2823541774886,69.11,78.37,64.72401839759291,65.30798584197657,77.28723396396148,88.39285590776188,70.88168726020095,82.79422410360911,81.52233230320762,73.69895680074143,72.93189301834542,0.02770572528243065,0.8052445025485386,0.19043977558612823,0.4935934841632843,231.2709872103098,-1.8981813192367554,4906502,75049681,470.63330078125,1.307715467367127,0.607173793971256,0.7005416784806274,0.5651334433758993,20260902-190347-48d848,,,NVIDIA H200,hybrid,diffusion,True,directed,1.0,"[1, 2, 4]",26,40,26,0.1,3e-05,hybrid
